Player,salary,inf_adj_salary,year
Elias Harris,100000.0,126897.0,2014
DeAndre Liggins,88429.0,112214.0,2014
Royal Ivey,74839.0,94968.0,2014
Melvin Ely,74469.0,94499.0,2014
Sasha Vujacic,69791.0,88563.0,2014
Casper Ware,69201.0,87814.0,2014
Seth Curry,66318.0,84155.0,2014
James Nunnally,57668.0,73179.0,2014
Willie Reed,57668.0,73179.0,2014
Mustafa Shakur,46404.0,58885.0,2014
Darius Johnson-Odom,46404.0,58885.0,2014
Vander Blue,28834.0,36589.0,2014
Shane Edwards,28834.0,36589.0,2014
Tony Mitchell,28834.0,36589.0,2014
DJ Stephens,28834.0,36589.0,2014
Kobe Bryant,23500000.0,29215494.0,2015
Joe Johnson,23180790.0,28818648.0,2015
Carmelo Anthony,22458401.0,27920565.0,2015
Amare Stoudemire,21896658.0,27222199.0,2015
Dwight Howard,21436271.0,26649840.0,2015
LeBron James,20644400.0,25665376.0,2015
Chris Bosh,20644400.0,25665376.0,2015
Chris Paul,20068563.0,24949488.0,2015
Kevin Durant,19997513.0,24861158.0,2015
Deron Williams,19754465.0,24558998.0,2015
Rudy Gay,19317326.0,24015541.0,2015
Derrick Rose,18862876.0,23450563.0,2015
Blake Griffin,17632688.0,21921178.0,2015
Carlos Boozer,16800000.0,20885969.0,2015
Zach Randolph,16500000.0,20513006.0,2015
Marc Gasol,15829688.0,19679666.0,2015
Paul George,15800000.0,19642757.0,2015
Kevin Love,15719063.0,19542135.0,2015
Russell Westbrook,15719062.0,19542134.0,2015
Brook Lopez,15719000.0,19542057.0,2015
LaMarcus Aldridge,15200000.0,18896830.0,2015
David Lee,15012000.0,18663106.0,2015
Dwyane Wade,15000000.0,18648187.0,2015
Josh Smith,14945778.0,18580778.0,2015
Roy Hibbert,14898938.0,18522546.0,2015
Jeremy Lin,14898938.0,18522546.0,2015
Eric Gordon,14898938.0,18522546.0,2015
Omer Asik,14898938.0,18522546.0,2015
Gordon Hayward,14746000.0,18332411.0,2015
Chandler Parsons,14700000.0,18275223.0,2015
James Harden,14693906.0,18267647.0,2015
Tyson Chandler,14596888.0,18147033.0,2015
Brandon Roy,14399332.0,17901429.0,2015
