player_name,season,team,mp,raptor_offense,raptor_defense,raptor_total,war_total,salary,inf_adj_salary,player_val,3_year_average_val,lr_average_val
Al-Farouq Aminu,2021,CHI,67,-3.94,1.04,-2.9,-0.01,9720900.0,11173169.0,-26941.44,7858204.9,9594098.08
Al-Farouq Aminu,2021,ORL,367,-3.41,3.09,-0.32,0.46,9720900.0,11173169.0,2419419.34,7858204.9,9594098.08
Alan Anderson,2014,BRK,1773,-0.76,-0.15,-0.91,1.66,947907.0,1202871.0,4003753.03,4003753.03,4003753.03
Alan Anderson,2015,BRK,1744,-0.81,1.36,0.55,2.94,1276061.0,1586415.0,7503866.42,5753809.72,5753809.72
Alan Anderson,2016,WAS,192,0.72,-2.81,-2.09,0.06,4000000.0,4966702.0,181313.27,3896310.91,3896310.91
Alan Anderson,2017,LAC,308,-1.81,-5.49,-7.31,-0.71,1315448.0,1617230.0,-2516675.85,1722834.61,2293064.22
Chris Andersen,2014,MIA,1396,0.48,1.58,2.06,3.4,6217507.0,7889866.0,8224192.26,8224192.26,8224192.26
Chris Andersen,2015,MIA,1132,-1.63,-0.08,-1.71,0.6,5300000.0,6589026.0,1535196.95,4879694.6,4879694.6
Chris Andersen,2016,MEM,366,-0.59,-0.08,-0.68,0.39,5000000.0,6208378.0,1080671.27,3648952.96,3648952.96
Chris Andersen,2016,MIA,36,4.22,-4.9,-0.68,0.04,5000000.0,6208378.0,106798.39,3648952.96,3648952.96
Chris Andersen,2017,CLE,114,-2.22,0.91,-1.31,0.08,1551659.0,1907631.0,300301.16,1007655.92,2811790.01
James Anderson,2014,PHI,2309,-1.97,-1.39,-3.36,-0.73,916099.0,1162507.0,-1761399.03,-1761399.03,-1761399.03
James Anderson,2016,SAC,721,-3.6,0.85,-2.75,0.0,1015421.0,1260823.0,1572.18,-879913.42,-879913.42
Justin Anderson,2016,DAL,647,-2.08,-0.42,-2.5,0.08,1449000.0,1799188.0,231841.71,231841.71,231841.71
Justin Anderson,2017,DAL,710,-1.65,-0.58,-2.23,0.19,1514160.0,1861530.0,660390.67,915508.82,915508.82
Justin Anderson,2017,PHI,518,-0.61,-1.14,-1.75,0.26,1514160.0,1861530.0,938785.26,915508.82,915508.82
Justin Anderson,2018,PHI,519,-0.88,-0.43,-1.31,0.38,1579440.0,1910577.0,1527929.58,1119649.07,1119649.07
Justin Anderson,2019,ATL,463,-2.61,0.11,-2.5,0.06,2516047.0,2958591.0,257950.49,1128352.0,904224.43
Justin Anderson,2022,CLE,47,4.41,-2.72,1.7,0.11,445828.0,486218.0,527117.15,-1725939.74,378191.59
Justin Anderson,2022,IND,269,-0.94,-5.17,-6.11,-0.46,445828.0,486218.0,-2253056.89,-1725939.74,378191.59
Kyle Anderson,2015,SAS,358,-3.78,-2.69,-6.48,-0.67,1093680.0,1359676.0,-1720195.68,-1720195.68,-1720195.68
Kyle Anderson,2016,SAS,1245,-1.47,0.31,-1.17,1.0,1142880.0,1419086.0,2810117.86,544961.09,544961.09
Kyle Anderson,2017,SAS,1020,-1.54,2.64,1.1,1.99,1192080.0,1465560.0,7067002.01,2718974.73,2718974.73
Kyle Anderson,2018,SAS,1978,-0.34,3.14,2.8,5.59,2151704.0,2602819.0,22433050.53,10770056.8,7647493.68
Kyle Anderson,2019,MEM,1281,-2.04,2.22,0.18,1.9,8641000.0,10160853.0,8185285.44,12561779.33,7755052.03
Kyle Anderson,2020,MEM,1330,-1.99,1.75,-0.23,1.71,9073050.0,10495873.0,8351472.92,12989936.3,7854455.51
Kyle Anderson,2021,MEM,1887,0.6,2.22,2.82,5.38,9505100.0,10925129.0,28557274.68,15031344.35,10812001.11
Kyle Anderson,2022,MEM,1484,-1.58,0.98,-0.6,1.63,9937150.0,10837431.0,8044688.63,14984478.74,10466087.05
Ryan Anderson,2014,NOP,795,3.9,-3.26,0.65,1.37,8308500.0,10543288.0,3306899.99,3306899.99,3306899.99
Ryan Anderson,2015,NOP,1675,1.47,-1.79,-0.32,2.07,8491500.0,10556739.0,5288328.98,4297614.49,4297614.49
Ryan Anderson,2016,NOP,2008,1.97,0.29,2.27,5.15,8500000.0,10554243.0,14459319.26,7684849.41,7684849.41
Ryan Anderson,2017,HOU,2116,1.0,-0.75,0.25,3.23,18735364.0,23033526.0,11450857.34,10399501.86,8626351.39
Ryan Anderson,2018,HOU,1725,0.14,0.23,0.37,2.75,19578455.0,23683172.0,11019016.97,12309731.19,9104884.51
Ryan Anderson,2019,MIA,44,-3.71,-2.71,-6.42,-0.08,20421546.0,24013463.0,-350188.09,6929865.43,7307357.42
Ryan Anderson,2019,PHO,278,-3.27,-1.67,-4.94,-0.31,20421546.0,24013463.0,-1330089.92,6929865.43,7307357.42
Ike Anigbogu,2018,IND,30,-0.26,-12.97,-13.23,-0.16,950000.0,1149172.0,-644277.64,-644277.64,-644277.64
Ike Anigbogu,2019,IND,6,-22.45,-30.16,-52.61,-0.16,1349383.0,1586724.0,-672305.57,-658291.6,-658291.6
Giannis Antetokounmpo,2014,MIL,1897,-1.14,0.23,-0.91,1.78,1792560.0,2274715.0,4314845.57,4314845.57,4314845.57
Giannis Antetokounmpo,2015,MIL,2541,-0.63,-0.44,-1.06,2.18,1873200.0,2328785.0,5562581.09,4938713.33,4938713.33
Giannis Antetokounmpo,2016,MIL,2823,0.76,-0.23,0.53,4.71,1953960.0,2426184.0,13214105.26,7697177.31,7697177.31
Giannis Antetokounmpo,2017,MIL,2845,2.72,2.37,5.09,11.32,2995420.0,3682612.0,40129279.51,19635321.95,15805202.86
Giannis Antetokounmpo,2018,MIL,2756,3.17,2.45,5.63,11.79,22471911.0,27183255.0,47306964.25,33550116.34,22105555.14
Giannis Antetokounmpo,2019,MIL,2358,4.18,2.57,6.75,11.57,24157304.0,28406299.0,49732240.16,45722827.97,26710002.64
Giannis Antetokounmpo,2020,MIL,1917,5.46,3.87,9.34,12.03,25842697.0,29895313.0,58745005.66,51928070.02,31286431.64
Giannis Antetokounmpo,2021,MIL,2013,4.58,2.01,6.59,9.72,27528088.0,31640691.0,51594543.44,53357263.09,33824945.62
Giannis Antetokounmpo,2022,MIL,2204,5.67,2.08,7.75,12.0,39344900.0,42909452.0,59117547.0,56485698.7,36635234.66
